"","Country.Region","date","CumCaseNumber","IncCaseNumber","geo","Continent","country_region"
"34167","Niger",2020-07-23,1124,2,"NE","AF","Niger"
"34168","Niger",2020-07-24,1124,0,"NE","AF","Niger"
"34169","Niger",2020-07-25,1124,0,"NE","AF","Niger"
"34170","Niger",2020-07-26,1136,12,"NE","AF","Niger"
"34171","Niger",2020-07-27,1132,0,"NE","AF","Niger"
"34172","Niger",2020-07-28,1132,0,"NE","AF","Niger"
"34173","Niger",2020-07-29,1132,0,"NE","AF","Niger"
"34174","Niger",2020-07-30,1134,2,"NE","AF","Niger"
"34175","Niger",2020-07-31,1134,0,"NE","AF","Niger"
"34176","Niger",2020-08-01,1136,2,"NE","AF","Niger"
"34177","Niger",2020-08-02,1147,11,"NE","AF","Niger"
"34178","Niger",2020-08-03,1152,5,"NE","AF","Niger"
"34179","Niger",2020-08-04,1152,0,"NE","AF","Niger"
"34180","Niger",2020-08-05,1152,0,"NE","AF","Niger"
"34181","Niger",2020-08-06,1153,1,"NE","AF","Niger"
"34182","Niger",2020-08-07,1153,0,"NE","AF","Niger"
"34183","Niger",2020-08-08,1157,4,"NE","AF","Niger"
"34184","Niger",2020-08-09,1158,1,"NE","AF","Niger"
"34185","Niger",2020-08-10,1158,0,"NE","AF","Niger"
"34186","Niger",2020-08-11,1158,0,"NE","AF","Niger"
"34187","Niger",2020-08-12,1161,3,"NE","AF","Niger"
"34188","Niger",2020-08-13,1161,0,"NE","AF","Niger"
"34189","Niger",2020-08-14,1161,0,"NE","AF","Niger"
"34190","Niger",2020-08-15,1165,4,"NE","AF","Niger"
"34191","Niger",2020-08-16,1167,2,"NE","AF","Niger"
"34192","Niger",2020-08-17,1167,0,"NE","AF","Niger"
"34193","Niger",2020-08-18,1167,0,"NE","AF","Niger"
"34194","Niger",2020-08-19,1167,0,"NE","AF","Niger"
"34195","Niger",2020-08-20,1169,2,"NE","AF","Niger"
"34196","Niger",2020-08-21,1172,3,"NE","AF","Niger"
"34197","Niger",2020-08-22,1172,0,"NE","AF","Niger"
"34198","Niger",2020-08-23,1172,0,"NE","AF","Niger"
"34199","Niger",2020-08-24,1172,0,"NE","AF","Niger"
"34200","Niger",2020-08-25,1173,1,"NE","AF","Niger"
"34201","Niger",2020-08-26,1173,0,"NE","AF","Niger"
"34202","Niger",2020-08-27,1173,0,"NE","AF","Niger"
